area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Plot  Area,Ready To Move,MM Layout,4 Bedroom,Sanzaat,350,3,1,45,3,Plot
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,Sanzaat,875,3,1,115,3,Plot
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Sanzaat,1325,2,1,59,2,Flat+
Plot  Area,Ready To Move,Sector 6 HSR Layout,6 Bedroom,Sanzaat,2400,5,2,750,2.5,Plot
Super built-up  Area,18-Jun,Kudlu Gate,2 BHK,Sanzaat,1183,2,1,79.54,2,Flat++
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,3 BHK,Almid P,1750,3,2,100,1.5,Flat+
Super built-up  Area,Ready To Move,Nagashetty Halli,4 BHK,Prarkun,16335,4,2,149,2,Flat++
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,Prarkun,747,1,2,27,0.5,Flat++
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1342,2,1,90,2,Flat++
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,52,2,Flat++
Super built-up  Area,Ready To Move,Devarabeesana Halli,3 BHK,Thionav,1738,3,2,110,1.5,Flat++
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1206,2,3,90,0.67,Flat++
Super built-up  Area,19-Mar,Hebbal,4 BHK,Raard B,2790,4,3,198,1.33,Flat++
Super built-up  Area,18-Mar,Hebbal,2 BHK,Adeatlm,1162,2,1,59,2,Flat++
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Adeatlm,1194,2,2,46,1,Flat++
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1857,4,3,155,1.33,Flat+
Built-up  Area,Ready To Move,Kattigenahalli,6 Bedroom,PhestOn,3500,6,2,115,3,Flat+
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3,2,240,1.5,Flat++
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,V2avei ,1150,2,1,45.99,2,Flat++
Plot  Area,Ready To Move,Koramangala,4 Bedroom,V2avei ,2400,5,3,550,1.67,Plot
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,V2avei ,1290,2,2,72,1,Flat++
Built-up  Area,Ready To Move,Thubarahalli,4 BHK,VincyRe,3408,5,1,145,5,Flat+
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,IBityin,900,2,1,145,2,Flat+
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,IBityin,1150,2,0,70,inf,Flat+
Plot  Area,Ready To Move,Banashankari,3 Bedroom,IBityin,1040,2,1,109,2,Plot
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1160,2,2,64.08,1,Flat++
Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,NVanat ,900,2,2,27,1,Flat++
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,NVanat ,1750,3,1,185,3,Plot
Built-up  Area,18-Dec,Electronic City,3 BHK,Soiewre,1320,2,1,38.12,2,Flat+
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2240,4,2,160,2,Flat++
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shaceop,891,2,1,26,2,Flat++
Plot  Area,Ready To Move,Udaya Nagar,5 Bedroom,SoechHa,1000,4,3,80,1.33,Plot
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,3,2,125,1.5,Flat++
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Siissi ,1323,2,1,42,2,Flat++
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,67.5,2,Flat++
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Mauner ,1370,2,2,60,1,Flat+
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Mauner ,1385,2,2,48.48,1,Flat++
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,1129,2,1,50,2,Flat++
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,Asmosz ,1876,3,1,150,3,Flat++
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1720,3,1,95,3,Flat++
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,PrntaEn,1200,4,1,80,4,Plot
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,86.68,1,Flat++
Super built-up  Area,Ready To Move,Nagawara Junction,1 BHK,Sosisic,500,1,2,51,0.5,Flat++
Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,Sosisic,1200,5,2,85,2.5,Plot
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Sosisic,1200,1,0,295,inf,Flat+
Super built-up  Area,19-Jan,Hosa Road,3 BHK,Sosisic,1893,3,2,130,1.5,Flat++
Super built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1430,3,2,52,1.5,Flat++
Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,850,2,2,45,1,Flat+
Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,Pu270a ,1392,2,1,110,2,Flat++
Super built-up  Area,21-Mar,Kanakpura Road,3 BHK,GolusLi,1938,3,3,105,1,Flat++
Super built-up  Area,18-Oct,Chennammanakere Achukattu,2 BHK,Giersin,1020,2,2,52,1,Flat++
Plot  Area,Ready To Move,"beml layout, basaveshwara nagar",3 Bedroom,Giersin,2400,2,1,360,2,Plot
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1832,3,2,160,1.5,Flat++
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,HRaniIb,1423,2,2,85,1,Flat++
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1432,2,1,85,2,Flat++
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,Puestol,1350,4,3,235,1.33,Plot
Plot  Area,Ready To Move,BTM 2nd Stage,8 Bedroom,Puestol,1500,6,0,270,inf,Plot
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Puestol,1480,3,2,65,1.5,Flat++
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3,2,96.2,1.5,Flat++
Plot  Area,Ready To Move,Lingarajapuram,3 Bedroom,NiarkHy,760,4,2,95,2,Plot
Super built-up  Area,18-Dec,Hulimavu,3 BHK,NiarkHy,1916,2,1,150,2,Flat++
Super built-up  Area,Ready To Move,Hennur,2 BHK,Brica E,1255,2,1,55.5,2,Flat++
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Brica E,1160,2,2,44.08,1,Flat++
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Brica E,2640,2,1,170,2,Flat++
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Maoseer,1160,2,3,53,0.67,Flat++
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2,1,80,2,Flat+
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Reitice,1100,2,1,44,2,Flat++
Carpet  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,1500,3,3,100,1,Flat
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,1336,2,3,50.35,0.67,Flat++
Built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1065,2,1,46,2,Flat+
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2,1,115,2,Flat++
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,2,68.5,1.5,Flat++
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,75,2,Flat++
Super built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,Brnia G,1005,2,2,40,1,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1430,2,1,102,2,Flat++
Super built-up  Area,18-Dec,Frazer Town,4 BHK,Emsisy ,4100,4,3,660,1.33,Flat++
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1660,3,2,125,1.5,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,3,56,0.67,Flat++
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,DSreerk,1470,2,1,75,2,Flat++
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2,1,76.77,2,Flat++
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4000 - 4450,6,0,359,inf,Flat++
Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2,0,30,inf,Flat+
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1382,3,1,65,3,Flat++
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,DSndsod,930,2,2,46,1,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2,2,116,1,Flat++
Super built-up  Area,Ready To Move,Vijinapura,2 BHK,Vadidpl,1290,2,2,71.95,1,Flat++
Built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1010,2,1,45,2,Flat+
Built-up  Area,Ready To Move,Brookefield,4 BHK,Sringlv,3050,4,2,130,2,Flat+
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Adxira ,1200,2,2,71,1,Flat++
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,PrityTr,1650,3,2,140,1.5,Flat+
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3,2,88,1.5,Flat++
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,3,2,320,1.5,Flat++
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,56.55,1,Flat++
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2087.01,4,2,160,2,Flat++
Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MancyRe,1200,2,1,47,2,Flat++
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844,3,1,89,3,Flat++
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Sosisic,142.84Sq. Meter,3,1,110,3,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215,2,1,43.75,2,Flat++
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,VaireSo,1194,2,1,57,2,Flat++
Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,VaireSo,1220,2,2,52,1,Flat+
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,PrarePa,3150,4,2,150,2,Flat+
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26,1,Flat++
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2,1,37.97,2,Flat++
Built-up  Area,Ready To Move,Kadugondanahalli,5 Bedroom,Vrenty ,2000,5,1,75,5,Flat+
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884,2,1,48,2,Flat++
Super built-up  Area,Ready To Move,Kathriguppe,2 BHK,FetatHa,1250,2,1,68.75,2,Flat++
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,2 BHK,FetatHa,7000,2,1,135,2,Flat++
Plot  Area,Ready To Move,Dodda Nekkundi,3 Bedroom,FetatHa,2400,4,2,300,2,Plot
Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2990,4,1,225,4,Flat++
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2,1,52,2,Flat++
Super built-up  Area,Ready To Move,Sadhguru Layout,1 BHK,AsastDe,2559,1,1,55,1,Flat++
Built-up  Area,18-Mar,Begur,2 BHK,AsastDe,1200,2,1,33,2,Flat+
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2,1,45.75,2,Flat++
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,TCncyn ,1089,2,1,40,2,Flat++
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Orens G,1165,2,1,52,2,Flat++
Super built-up  Area,Ready To Move,Chandapura,1 BHK,Puveshe,410,1,1,10,1,Flat++
Super built-up  Area,18-Dec,Hennur,3 BHK,Puveshe,1482,3,1,110,3,Flat++
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,GoityEt,1200,2,1,68,2,Flat+
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3,3,113,1,Flat++
Super built-up  Area,18-Apr,Hormavu,3 BHK,Inasy E,1166,2,2,34.97,1,Flat++
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Inasy E,1275,2,2,55.46,1,Flat++
Super built-up  Area,Ready To Move,Mico Layout,2 BHK,Inasy E,1140,2,2,43,1,Flat++
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3734,5,1,430,5,Plot
Super built-up  Area,Ready To Move,Tejaswini Nagar,1 BHK,Raood R,720,1,2,28,0.5,Flat++
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,Alnorrm,1200,3,2,228,1.5,Plot
Built-up  Area,Ready To Move,Richards Town,2 BHK,Alnorrm,1100,2,1,90,2,Flat+
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Sovar S,1162,2,2,98.77,1,Flat++
Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,Sovar S,540,1,0,35,inf,Flat+
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,2,2,73.5,1,Flat++
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,SatonLi,1300,3,1,145,3,Plot
Plot  Area,Ready To Move,Ullal Road,5 Bedroom,SatonLi,1200,5,1,130,5,Plot
Super built-up  Area,Ready To Move,Chikbasavanapura,2 BHK,SatonLi,1220,2,2,60,1,Flat++
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,DSlesSp,964,2,1,62,2,Flat++
Built-up  Area,21-Dec,"Electronic City Phase 1, ",3 BHK,DSlesSp,1500,3,2,50,1.5,Flat+
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSlesSp,1347,2,1,44,2,Flat++
Super built-up  Area,Ready To Move,"JP Nagar 8th Phase, ",4 BHK,Prdenth,5000,5,2,250,2.5,Flat++
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Prdenth,3000,4,2,140,2,Flat+
Super built-up  Area,18-Jun,Bannerghatta,2 BHK,Prdenth,1120,2,1,42.5,2,Flat++
Super built-up  Area,Ready To Move,Lake City,1 BHK,Prdenth,600,1,1,22.8,1,Flat++
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4,1,157,4,Flat++
Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,Prineth,540,1,2,24,0.5,Flat++
Built-up  Area,Ready To Move,Hebbal,2 BHK,Skacak ,1150,2,1,57,2,Flat+
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Skacak ,1484,3,1,75,3,Flat+
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1680,2,1,68,2,Flat++
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,Usquaya,620,2,1,23,2,Flat++
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,Usquaya,1650,3,2,78,1.5,Flat++
Super built-up  Area,18-Apr,Chuchangatta Colony,3 BHK,Usquaya,1250,3,2,44,1.5,Flat++
Super built-up  Area,18-Aug,Hanuman Nagar,3 BHK,Usquaya,2072,3,2,108,1.5,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1105,2,2,40,1,Flat++
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Invenai,1200,2,2,60.5,1,Flat++
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,Chllea ,3100,7,3,145,2.33,Flat+
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4007,4,3,530,1.33,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,2,1,16,2,Flat++
Super built-up  Area,Ready To Move,Banashankari,3 BHK,PhestOn,1340,2,2,53.6,1,Flat++
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3,3,395,1,Flat++
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Canoroy,1194,2,2,46,1,Flat++
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Canoroy,1246,2,1,65,2,Flat++
Built-up  Area,Ready To Move,Old Airport Road,2 BHK,Canoroy,1055,2,3,75,0.67,Flat+
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3,1,69.61,3,Flat++
Built-up  Area,Ready To Move,Harlur,2 BHK,Veitaus,1370,2,2,88,1,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1224,2,2,75,1,Flat++
Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,Prrtht ,650,2,1,58,2,Plot
Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,39,2,Flat+
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1676,3,1,92.13,3,Flat++
Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,PrinePr,1154,2,1,57,2,Flat+
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Hahtsya,1610,3,3,78.5,1,Flat++
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,1057,2,1,42,2,Flat++
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157,2,1,65,2,Flat++
Plot  Area,18-May,Doddagubbi,4 Bedroom,Daxir E,1200,4,1,85,4,Plot
Plot  Area,Ready To Move,Dasappa Layout,7 Bedroom,Daxir E,1500,7,3,130,2.33,Plot
Super built-up  Area,Ready To Move,Gulimangala,2 BHK,Daxir E,980,2,3,35,0.67,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Vaine S,1140,2,1,40,2,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1206,2,1,40.7,2,Flat++
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,K ncy R,575,1,1,16.75,1,Flat+
Super built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1600,3,1,170,3,Flat++
Plot  Area,Ready To Move,1st Stage Indira Nagar,4 Bedroom,DSdidSp,2400,4,1,500,4,Plot
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,DSdidSp,1300,2,2,52,1,Flat++
Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1270,2,1,35.56,2,Flat++
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,63.5,2,Flat++
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,640,1,1,45,1,Flat++
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,SPavenc,2400,3,2,185,1.5,Flat++
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,SPavenc,1200,2,0,66,inf,Plot
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2,2,38.15,1,Flat++
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,29,1,Flat++
Super built-up  Area,18-Apr,Electronic City,2 BHK,Adeatlm,1125,2,1,28.13,2,Flat++
Super built-up  Area,Ready To Move,Kogilu,2 BHK,Adeatlm,1140,2,2,50.66,1,Flat++
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,3150,4,2,500,2,Plot
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Viuliap,1315,2,3,74,0.67,Flat++
Plot  Area,Ready To Move,Billamaranahalli,2 Bedroom,AWharan,300Sq. Yards,2,2,150,1,Plot
Super built-up  Area,Ready To Move,Bellandur,3 BHK,AkonyHa,1435,2,2,115,1,Flat++
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Alestrb,1092,2,2,44,1,Flat++
Super built-up  Area,18-May,Kadugodi,2 BHK,Alestrb,1314,2,3,80,0.67,Flat++
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2,1,100,2,Flat++
Plot  Area,Ready To Move,Srirampura,7 Bedroom,PrawnRa,1875,5,1,192,5,Plot
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,PrawnRa,1080,2,1,49,2,Flat++
Built-up  Area,Ready To Move,Nagasandra,8 Bedroom,PrawnRa,4000,8,3,160,2.67,Flat+
Super built-up  Area,18-Feb,Mysore Road,3 BHK,PrawnRa,1082,2,1,45,2,Flat++
Super built-up  Area,Ready To Move,Jakkur,3 BHK,DSeldpr,1150,3,2,65,1.5,Flat++
Super built-up  Area,18-Dec,Hennur Road,2 BHK,DSeldpr,1052,2,1,34.72,2,Flat++
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shyas S,1045,2,1,45,2,Flat++
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1442,3,2,80,1.5,Flat+
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SrncyRe,1500,2,2,75,1,Flat++
Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497,1,1,20,1,Flat++
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,1,53.57,2,Flat++
Super built-up  Area,22-Jan,Vajarahalli,3 BHK,Roima A,1432,3,2,79,1.5,Flat++
Built-up  Area,Ready To Move,Kundalahalli,3 Bedroom,Roima A,2100,3,2,150,1.5,Flat+
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Eltert ,1450,2,2,80,1,Flat+
Super built-up  Area,18-May,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,69.61,2,Flat++
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Assha A,1200,2,2,29,1,Flat++
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,925,2,1,49.82,2,Flat++
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Shiumi ,1160,2,2,49,1,Flat++
Super built-up  Area,18-Apr,Lingadheeranahalli,3 BHK,Shiumi ,1768,3,3,81.31,1,Flat++
Super built-up  Area,Ready To Move,Kothanur,2 BHK,MauilTr,1094,2,2,54,1,Flat++
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,MauilTr,1500,3,3,90,1,Flat++
Built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3,2,130,1.5,Flat+
Built-up  Area,Ready To Move,Bommanahalli,7 Bedroom,ETntsce,2875,7,3,85,2.33,Flat+
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3,3,425,1,Flat++
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,AdtusAn,1550,3,1,50,3,Flat++
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5,1,160,5,Flat++
Super built-up  Area,19-Mar,Whitefield,3 BHK,Prtates,1655,3,2,113,1.5,Flat++
Super built-up  Area,19-Jan,Battarahalli,3 BHK,PaontWa,2024,3,2,103,1.5,Flat++
Built-up  Area,Ready To Move,Siddapura,4 Bedroom,PrstaLa,3100,5,0,425,inf,Flat+
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,AFe 3Ph,1575,4,3,100,1.33,Flat++
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1920,3,2,130,1.5,Flat++
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,6200,4,2,744,2,Flat+
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,55,2,Flat++
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Jancyva,1265,2,3,55,0.67,Flat++
Super built-up  Area,Ready To Move,Kengeri Satellite Town KHB Apartment,3 BHK,Prlla C,1100,2,2,45,1,Flat++
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Prlla C,1160,2,1,65,2,Plot
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67.4,2,Flat++
Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615,1,1,43.08,1,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prhna S,1128,2,1,60,2,Flat++
Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,AmiewLa,1260,2,1,55,2,Flat++
Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3,3,89.89,1,Flat++
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Prensya,1525,2,2,68,1,Flat++
Super built-up  Area,18-Jan,Yelahanka,1 BHK,Prensya,602,2,1,30,2,Flat++
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,Golmsn ,3000,4,2,400,2,Flat+
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Golmsn ,1835,3,3,89,1,Flat++
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1250,3,3,62.6,1,Flat+
Plot  Area,Ready To Move,Subhash Nagar,4 Bedroom,Vestas ,1200,4,1,110,4,Plot
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vestas ,1855,3,3,96,1,Flat++
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,60.91,1,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PraleSi,2089,3,2,148,1.5,Flat++
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,1.5,Flat++
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,Dhalsh ,4800,3,2,200,1.5,Plot
Built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44.73,1,Flat+
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa 3t ,1095,2,1,45,2,Flat++
Plot  Area,Ready To Move,Ambedkar Nagar,3 Bedroom,Thessrm,2900,3,2,297,1.5,Plot
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Saarlth,2500,3,2,345,1.5,Flat++
Built-up  Area,Ready To Move,Kothanur,3 BHK,EiionCa,1170,3,2,80,1.5,Flat+
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1280,2,1,88,2,Flat++
Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,Puwerun,1224,2,0,105,inf,Flat++
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1694,3,1,125,3,Flat+
Super built-up  Area,Ready To Move,Electronic City,2 BHK,KBityo ,825,2,1,30,2,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SunceEs,1612,3,1,98.38,3,Flat++
Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,985,2,1,25.12,2,Flat++
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Sahtsi ,1175,2,2,75,1,Flat++
Plot  Area,Ready To Move,Sunkadakatte,1 Bedroom,SneurGr,600,1,0,24,inf,Plot
Built-up  Area,Ready To Move,Whitefield,3 BHK,SneurGr,1740,3,3,85,1,Flat+
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1770,3,2,99,1.5,Flat++
Plot  Area,Ready To Move,HAL 2nd Stage,8 Bedroom,S2ionrn,1000,7,3,260,2.33,Plot
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,S2ionrn,1090,2,1,46,2,Flat++
